share,a,b,gamma,R,apr_ra
0.005543393679143846,1.0203086335374948e-06,3.448012661528053e-06,0.007633083669479491,0.042,0.04195766204257021
0.0055299965817037396,8.049881680002722e-07,1.5208270648058687e-06,0.0076537290853921506,0.042,0.04195766204257021
0.005484699357783882,1.2250611240406622e-06,7.6251939115113994e-06,0.007710434735436381,0.042,0.04195766204257021
0.005298970435247497,1.3313307805552933e-06,8.771590697222108e-06,0.007979743020701877,0.042,0.04195766204257021
0.0052729826707027805,1.2195197403055286e-06,3.395286084945171e-06,0.008024608894268835,0.042,0.04195766204257021
0.0052528311873351885,1.0451362944589547e-06,7.50206368776572e-06,0.008051479082962273,0.042,0.04195766204257021
0.005199716210320222,5.221083531163841e-07,5.40114370606263e-06,0.008136436007040618,0.042,0.04195766204257021
0.005152000448434086,4.5741469253190243e-07,5.962287672557251e-06,0.008211350822608467,0.042,0.04195766204257021
0.0051127256577738756,1.4445719370422892e-06,7.1493861815037265e-06,0.008272303602934336,0.042,0.04195766204257021
0.005020795698777186,6.908055043212976e-07,1.156461389989336e-05,0.008420264039633637,0.042,0.04195766204257021
0.005013855274013227,7.053896091677122e-07,5.677492284421174e-06,0.00843780928480685,0.042,0.04195766204257021
0.004965409482693743,9.14810308455689e-07,1.6291594821081144e-05,0.008509372838204843,0.042,0.04195766204257021
0.004961389348455579,1.257519054486391e-06,6.196043814952114e-06,0.008526034630910692,0.042,0.04195766204257021
0.0049530374963715875,4.932551420575969e-07,4.070323873672891e-06,0.008543313851915774,0.042,0.04195766204257021
0.004935831581187451,9.70682637725899e-07,1.385361956022919e-05,0.008562850347634121,0.042,0.04195766204257021
0.004879560250238091,3.3642121824620687e-07,4.386876610434392e-06,0.008671869521724343,0.042,0.04195766204257021
0.0048734364362099675,2.2855297195560952e-06,5.692149527849576e-06,0.008679517886554631,0.042,0.04195766204257021
0.004847499612998848,9.783235251544127e-07,6.381692458339409e-06,0.00872661849043258,0.042,0.04195766204257021
0.004840544855976699,6.827634265005882e-07,2.057476560596809e-06,0.008743786998060664,0.042,0.04195766204257021
0.00483707873459027,7.067240884068348e-07,5.4528676283008346e-06,0.008746635174064266,0.042,0.04195766204257021
0.004815343147267339,1.1112635172315275e-06,4.1714139417057725e-06,0.008787020619517636,0.042,0.04195766204257021
0.004815309656727935,6.780957483784946e-07,1.131258163025721e-05,0.008780373770178275,0.042,0.04195766204257021
0.0048139703109632455,5.149988443242009e-07,4.7398588978754784e-06,0.008789555806829724,0.042,0.04195766204257021
0.004764785023627131,4.165212271966183e-07,4.8692458295800024e-06,0.008880310796030754,0.042,0.04195766204257021
0.0047280206678924725,5.463318088291763e-07,1.2257811165777524e-05,0.008941885441465054,0.042,0.04195766204257021
0.004725676497895917,8.028969957996748e-07,1.217681823110257e-05,0.008946151839513024,0.042,0.04195766204257021
0.004570045113285226,1.822018349682713e-06,7.586123255495669e-06,0.009254823694250175,0.042,0.04195766204257021
0.004567213110652979,1.2948589524551123e-06,3.076286927899374e-06,0.00926560518411382,0.042,0.04195766204257021
0.0045415890688917885,1.0153437662602735e-06,6.032391539429632e-06,0.009315230609908673,0.042,0.04195766204257021
0.0045405039299093175,9.947211265908082e-07,6.293149175531747e-06,0.009317218414320285,0.042,0.04195766204257021
0.004519486647744842,1.1233218528951274e-06,3.8515952143825644e-06,0.0093628937657439,0.042,0.04195766204257021
