name,entity_type,validators,effective_balance_gwei,share
NO - 0xdb7c387aa3750c33ac17e388d1471afe6b1964a6,None,240,7680000000000,0.000100744925
Obol - Jubilant Jackrabbit,None,240,7680000000000,0.000100744925
SSV - Ethereal Elephant,None,240,7680000000000,0.000100744925
NO - 0x9fe9ffbfd57ab78d4d01973482258bfc4bb70be3,None,240,7680000000000,0.000100744925
Stader Labs,None,240,7680000000000,0.000100744925
SSV - Thoughtful Tiger,None,240,7680000000000,0.000100744925
SSV - Keen Koala,None,240,7680000000000,0.000100744925
Obol - Nurturing Narwhal,None,240,7680000000000,0.000100744925
SSV - Joyful Jaguar,None,240,7680000000000,0.000100744925
Obol - Vivacious Viper,None,240,7680000000000,0.000100744925
Obol - Majestic Moose,None,240,7680000000000,0.000100744925
Obol - Zephyr Zorilla,None,240,7680000000000,0.000100744925
Obol - Fierce Falcon,None,240,7680000000000,0.000100744925
CSM Operator 391,None,236,7552000000000,0.000099065843
NO - 0xcc27d4212d9333ef941533ea67bfef66f38bf0d8,None,236,7552000000000,0.000099065843
SSV - Xenial Xoloitzcuintli,None,234,7488000000000,0.000098226302
NO - 0xd5418d3289321a68bc70184d1a5240f5154f5c07,None,234,7488000000000,0.000098226302
SSV - Agile Aye-Aye,None,234,7488000000000,0.000098226302
SSV - Vibrant Viperfish,None,234,7488000000000,0.000098226302
SSV - Cheerful Cockatoo,None,231,7392000000000,0.000096966990
NO - 0xdfbc901126c3aea22312862d74d6cb9389eb0b4c - Puffer,None,225,7200000000000,0.000094448367
NO - 0x7818614ff330b1c5c0c00f10710412f48927d1c6,None,224,7168000000000,0.000094028596
NO - 0x751683968fd078341c48b90bc657d6babc2339f7,None,222,7104000000000,0.000093189055
NO - 0x479814612b98e3a3ff85eb07ecfe6ffc0a864046,None,215,6880000000000,0.000090250662
NO - 0x155569f48b7ac74fc6366f7721d305bb0e08e25a,None,208,6656000000000,0.000087312268
NO - 0xa5c142e01153b28f5da63cd8c118f59765175bd8,None,208,6656000000000,0.000087312268
NO - 0xcc00b35a6bb67c54b174058c809ec838f360dd88,None,207,6624000000000,0.000086892498
CSM Operator 331,None,200,6400000000000,0.000083954104
NO - 0x1ee11a0559ba7b2e6e4a216210a455c341e71fd5,None,200,6400000000000,0.000083954104
NO - 0xc5a405ab7b0ee180cab38cd73abaebf20894e111,None,200,6400000000000,0.000083954104
NO - 0x30039aeaaa203b660db1e09388550341523f854d,None,198,6336000000000,0.000083114563
CSM Operator 103,None,196,6272000000000,0.000082275022
NO - 0x9b864a921b4bf45725aeb00c083b956c7467e67d,None,196,6272000000000,0.000082275022
CSM Operator 307,None,192,6144000000000,0.000080595940
VeriHash,None,191,6112000000000,0.000080176169
NO - 0x0904a1969360f988163dac5bae493793375a74cc,None,186,5952000000000,0.000078077317
NO - 0xb221399c52686e32f93b5dab6c4c7d3c8b1bbe11,None,186,5952000000000,0.000078077317
NO - 0xf17e433c906e4e0b6f485b2473bab4935f9cbc3a,None,185,5920000000000,0.000077657546
NO - 0x33eb74a830c4c6acb49e80806d6b71e4180790a7,None,184,5888000000000,0.000077237776
CSM Operator 344,None,180,5760000000000,0.000075558694
