owner,validators,effective_balance_gwei,share
eth1:0x30aa36505e30b23dcf95571491de7e57a7e4d3ef,400,12800000000000,0.000358473651
eth1:0xda330f4c31e32d5a029eb16faaaf203093d3bb5c,400,12800000000000,0.000358473651
eth1:0xb0baaa9d8c923bf4cf929a9453000c65c764c668,400,12800000000000,0.000358473651
eth1:0x686c1f120917d6ba3cd072b011d5140069aab4aa,400,12800000000000,0.000358473651
eth1:0x9bd5e460b00cd6bd0f27bc2e96c8872cb2080d87,400,12800000000000,0.000358473651
eth1:0x42e14d7968db2bd8607c392f83085e00174e66f8,400,12800000000000,0.000358473651
eth1:0x810346bd5f860ceeb47133fef6e33aed92218178,400,12800000000000,0.000358473651
eth1:0xfb39cb8329c6b15f87808b294a1a09514dd5445c,400,12800000000000,0.000358473651
eth1:0xa850e842a0a99797911ba14262985bb73a0134c4,400,12800000000000,0.000358473651
eth1:0x2ab0c9728582e864ef47c86ddf6341c71a2c12b6,400,12800000000000,0.000358473651
eth1:0x03e543052f41799de45d97f801f61688240ae7c1,400,12800000000000,0.000358473651
eth1:0x8fad87eef357135747de7dd457557c85b2c30acb,400,12800000000000,0.000358473651
eth1:0x0331a5a0adab4b569ee88ba407447f453776cd2e,400,12800000000000,0.000358473651
eth1:0x505e62b89b1e991a58c87cda341dccebe4f470d9,400,12800000000000,0.000358473651
eth1:0x18bafb970ff2107217a0b5587a145a107171c556,400,12800000000000,0.000358473651
eth1:0xe07d3ea53ff918a0da3c4a4064ef0fd236f61da6,400,12800000000000,0.000358473651
eth1:0xeb3a2df501a0c50dcb2c52e7baf0e47229df1f17,400,12800000000000,0.000358473651
eth1:0x0f4f02e40929157d1c6d7462e26c393d8be3cf75,400,12800000000000,0.000358473651
eth1:0xa88702543b6f9134e39facc078b67265ab44f367,400,12800000000000,0.000358473651
eth1:0x48386c9858b3a77873b7f4ffa8ed4daef4267112,400,12800000000000,0.000358473651
eth1:0x2119c455458ca0a309c5c435de7d94408c23610d,400,12800000000000,0.000358473651
eth1:0x4d873c8ba1beec9c766c151e10a223d6fe01ccdd,400,12800000000000,0.000358473651
eth1:0x79c3b0dd8a6a293600c918f19e818e700bd1f1b6,400,12800000000000,0.000358473651
eth1:0x20d2cf8ce62dc77c03f9ae3231ec0f6985d74496,400,12800000000000,0.000358473651
eth1:0x789e74c73434ce283d99b4c8e2891ec60e21da0b,400,12800000000000,0.000358473651
eth1:0x87b644224b710f6c7f1b81024b7792ae7858695e,400,12800000000000,0.000358473651
eth1:0x999494b6b096beeefd38c652fb01710a8044ab99,400,12800000000000,0.000358473651
eth1:0x405bd833fa95bde1b145adbae2d6b166e2928caa,400,12800000000000,0.000358473651
eth1:0x469508b910b099ca7652950e984f29ef4d672867,400,12800000000000,0.000358473651
eth1:0x84af7d8420913912d167d6c3509d003a141c9985,400,12800000000000,0.000358473651
eth1:0x734a9ca3d47de8bbae246496cfb39442e6548d1a,400,12800000000000,0.000358473651
eth1:0x6940a02bd2b6ab64ffd80b736d046c804a80acb9,400,12800000000000,0.000358473651
eth1:0xbfd8d7fc836628e0b290909225621418adc40144,399,12768000000000,0.000357577466
eth1:0xf5e128551d45f7baeadb6c7f0daa17cb9678ba41,399,12768000000000,0.000357577466
eth1:0xc436eb8aed128275c8f224de2f1dd202c0ab5830,398,12736000000000,0.000356681282
eth1:0x2d2a477c1ac58e5ee6cb2ac36c1c6f578321f82c,398,12736000000000,0.000356681282
eth1:0xb6a543045398a5cb0f7e9917e94f3e05d4ae2649,398,12736000000000,0.000356681282
eth1:0x51acf8e0e809a369dfa979582f75787ef279ad9f,398,12736000000000,0.000356681282
eth1:0x82f42ebaf5c85cd65614dfa7e1400c4f80e10ddb,397,12704000000000,0.000355785098
eth1:0x92bfae8b84fc9af96cb6eed63fa5e5ce9eef1de0,396,12672000000000,0.000354888914
eth1:0xd8b395eab50438cca4b06463da9914ff229085b8,396,12672000000000,0.000354888914
eth1:0x9651482250a046f799346060a26d8d1d8ce03b83,396,12672000000000,0.000354888914
eth1:0x72a50b4ebe5bb74d2cfe9a4c2af733ba49a6865a,396,12672000000000,0.000354888914
eth1:0x1373a7460d6ae33e7aa4266f070fbcd768c64d9b,396,12672000000000,0.000354888914
eth1:0x26e08942c5e52939b2ce13f08c231b4d0fe19883,396,12672000000000,0.000354888914
eth1:0x829e269e580a05773864c0610810b4dffe6df9a4,396,12672000000000,0.000354888914
eth1:0x33f7c2313532136d7f281f49e3329df280b37ddd,396,12672000000000,0.000354888914
eth1:0xd501520326d41aead2a70d4b5bf0c4646c0c9bd8,395,12640000000000,0.000353992730
eth1:0x6e7592fec6d579609173e6b0946dbcf38e39169f,395,12640000000000,0.000353992730
eth1:0xd2bbc4299c7e366c180d20ceeb14df7abe15e5f7,395,12640000000000,0.000353992730
eth1:0x6ee10ca72156f7f0273333b7429c516421cc146a,395,12640000000000,0.000353992730
eth1:0xd5cdc3229e52ca86bcd7a18abf3198b039e266ba,395,12640000000000,0.000353992730
eth1:0x8f443d3b7fa5088c4c2d399525b3211ea85ad16b,395,12640000000000,0.000353992730
eth1:0x7669046e350c6e914462914ac20a66712c78a169,395,12640000000000,0.000353992730
eth1:0xba9e6f34c09287e65dc3d1a929260461057a64da,393,12576000000000,0.000352200362
eth1:0x72b8d1602b50365d1a79b583fb0fdb63e397613f,393,12576000000000,0.000352200362
eth1:0x4b41c0c8e1fdfb02da996ea1837750215cb5fb11,393,12576000000000,0.000352200362
eth1:0xf480884c46d88f5e8b746a8a599d3f5dca4db68b,393,12576000000000,0.000352200362
eth1:0xf87906ea245c5f62cd0b34321e958397379077f7,393,12576000000000,0.000352200362
eth1:0x70fe1444c9bcb1a0f21d1e8fafa36e55c715f7c3,392,12544000000000,0.000351304178
eth1:0xc58bc473fb3deed230ae0bd8e7ca3f49065d1069,392,12544000000000,0.000351304178
eth1:0xb3fcb38e1785c3d3779391ad95a2d3a17efc7c5a,392,12544000000000,0.000351304178
eth1:0x2f8b79557f6bb6095949105bf007fb59b357925d,392,12544000000000,0.000351304178
eth1:0xc8dee0a0cb0e948732c1528c16c682b3c94c7ffd,392,12544000000000,0.000351304178
eth1:0x8a6846528e7b1484ed4b59c71df7c0634c4311f9,392,12544000000000,0.000351304178
eth1:0x600c5a69dab4910ccba38f9706294ba3431dfc32,391,12512000000000,0.000350407993
eth1:0x91795562615c73db442489949fdc2ac54f22dd89,391,12512000000000,0.000350407993
eth1:0x9ad2bc4cf44abf96bf25e1514823735976a29268,391,12512000000000,0.000350407993
eth1:0xd9dbe612669f40458759e8e20caa61ac6691725d,390,12480000000000,0.000349511809
eth1:0xc70762f2dd053819236fe29a608c7205e6d9b32a,390,12480000000000,0.000349511809
eth1:0x35fc99fc6f583e91ad2c7aa0894130e5ff9eba82,390,12480000000000,0.000349511809
eth1:0x68690c86b619f0ea403f4e2dc279874df44d06d6,389,12448000000000,0.000348615625
eth1:0x2ad2a956673c2c132966eff3dcf9059045005c10,389,12448000000000,0.000348615625
eth1:0xcda32b24bfca96fd3c7228ade410e229938c196d,389,12448000000000,0.000348615625
eth1:0xe388e50b3ea06b4ad6da6eced0aa66b330c9bd9b,389,12448000000000,0.000348615625
eth1:0xa89b907f224557a9155392b85158ce436de81b1c,389,12448000000000,0.000348615625
eth1:0x02192290081421577b08f9eed029e6e461a0cb36,388,12416000000000,0.000347719441
eth1:0x944b5362f7e0305c6f5c6cc4c70b5261757fb12e,388,12416000000000,0.000347719441
eth1:0xc968306c2bacb8b29940959ff39d8c637b4695a6,387,12384000000000,0.000346823257
eth1:0x13c208c0b354302d56ebb4663eed1708e45d830a,387,12384000000000,0.000346823257
eth1:0xf5ebf9a7cb1e0989622bb8d64e8ab3499cc28ff6,387,12384000000000,0.000346823257
eth1:0x9bc4758f89f8a1164b3d741a5e2e6c2ff7728be2,386,12352000000000,0.000345927073
eth1:0x87612d64215f7de69b3d803565185fcb7aa02f94,386,12352000000000,0.000345927073
eth1:0xd1026749530a15c20cb7b30368d8c15e200fe1d6,385,12320000000000,0.000345030889
eth1:0x043ea17e7eec6a374413d0af41665afcbf22902f,385,12320000000000,0.000345030889
eth1:0xa8fb5c259340f0deae5950b21ed92ed912fc91f5,385,12320000000000,0.000345030889
